Address,Price,Neighbourhood,Quadrant,PostalArea,Province,PropertyType,Beds,Baths,SqFt,PricePerSqFt,PriceTier,BedBand,Brokerage
137 Erin Meadow Bay SE,429900,Erin Woods,SE,T2B,AB,House/Town,3,2.0,905,475,$300K-500K,3,Royal Lepage Benchmark
4531 7 Ave SE #27,199900,Forest Glen Gardens,SE,T2A,AB,Condo/Apt,3,1.5,996,201,< $300K,3,RE/MAX House Of Real Estate
20 Shawbrooke Ct SW,384900,Shawnessy West,SW,T2Y,AB,House/Town,3,1.5,1027,375,$300K-500K,3,Exp Realty
105 Aspen Ridge Heights SW,4899000,Aspen Woods,SW,T3H,AB,House/Town,6,6.5,5048,970,$2M+,5+,Exp Realty
712 4 St NE #25,229900,Renfrew,NE,T2E,AB,Condo/Apt,2,1.0,817,281,< $300K,2,Maxwell Capital Realty
225 Redstone #203,364900,Redstone,Other,T3N,AB,Condo/Apt,2,2.5,1016,359,$300K-500K,2,Real Broker
1403 18A St NE,449900,Mayland Heights,NE,T2E,AB,House/Town,4,3.0,1020,441,$300K-500K,4,RE/MAX Real Estate (Central)
2218 25 St SW,1149900,Richmond,SW,T3E,AB,House/Town,5,3.5,1871,615,$1M-2M,5+,RE/MAX House Of Real Estate
5848 Bow Crescent NW,3100000,Bowness,NW,T3B,AB,House/Town,6,4.5,4231,733,$2M+,5+,RE/MAX Realty Professionals
647 Skyview Ranch Grove NE,374900,Skyview Ranch,NE,T3R,AB,House/Town,2,2.5,1278,293,$300K-500K,2,Cir Realty
10 Discovery Ridge Close SW #412,539000,Discovery Ridge,SW,T3H,AB,Condo/Apt,2,2.0,1379,391,$500K-750K,2,Century 21 Powerrealty.Ca
1730 5A St SW #409,724900,Cliff Bungalow,SW,T2S,AB,Condo/Apt,2,2.5,1446,501,$500K-750K,2,RE/MAX Irealty Innovations
2713 4 Ave NW,898898,West Hillhurst,NW,T2N,AB,House/Town,3,2.0,1007,893,$750K-1M,3,Real Broker
99 Copperstone Park SE #3415,299900,Copperfield,SE,T2Z,AB,Condo/Apt,2,2.0,803,373,< $300K,2,Royal Lepage Mission Real Estate
222 Riverfront Ave SW #414,469000,Chinatown,SW,T2P,AB,Condo/Apt,1,1.0,700,670,$300K-500K,1,Grand Realty
224 Christie Park Manor SW,883900,Christie Park,SW,T3H,AB,House/Town,3,2.5,1384,639,$750K-1M,3,Coldwell Banker Mountain Central
11 Bedford Circle NE,539000,Beddington Heights,NE,T3K,AB,House/Town,5,3.0,1791,301,$500K-750K,5+,Ymk Real Estate & Management Inc.
77 Spruce Place SW #2607,539800,Spruce Cliff,SW,T3C,AB,Condo/Apt,2,2.0,1148,470,$500K-750K,2,RE/MAX Complete Realty
113 Edgebrook Grove NW,939900,Edgemont,NW,T3A,AB,House/Town,6,4.0,2638,356,$750K-1M,5+,Grand Realty
307 Lucas Blvd NW,649900,Livingston,NW,T3P,AB,House/Town,4,3.0,1759,369,$500K-750K,4,Century 21 Bravo Realty
2211 19 St NE #367,269000,Vista Heights,NE,T2E,AB,Condo/Apt,3,1.0,1011,266,< $300K,3,Diamond Realty & Associates Ltd.
215 Millview Green SW,369800,Millgreen Village,SW,T2Y,AB,House/Town,3,1.5,1052,352,$300K-500K,3,RE/MAX Landan Real Estate
250 Sage Valley Rd NW #310,319900,Sage Hill,NW,T3R,AB,Condo/Apt,2,1.0,764,419,$300K-500K,2,Listed by Jacqueline Ulch
1010 Arbour Lake Rd NW #1306,363900,Arbour Lake,NW,T3G,AB,Condo/Apt,2,2.0,985,369,$300K-500K,2,RE/MAX Real Estate (Mountain View)
64 Timberline Way SW,1239900,Springbank Hill,SW,T3H,AB,House/Town,3,3.5,2604,476,$1M-2M,3,RE/MAX Real Estate (Central)
19 Walcrest Manor SE,699900,Walden,SE,T2X,AB,House/Town,3,2.5,1948,359,$500K-750K,3,RE/MAX Real Estate (Central)
115 Storybook Terrace NW,239900,Storybook Village,NW,T3G,AB,House/Town,2,1.0,446,538,< $300K,2,2% Realty
288 Walcrest Way SE,729900,Walden,SE,T2X,AB,House/Town,3,2.5,2105,347,$500K-750K,3,RE/MAX Real Estate (Central)
310 12 Ave SW #2604,279900,Beltline,SW,T2R,AB,Condo/Apt,1,1.0,445,629,< $300K,1,RE/MAX Realty Professionals
35 Oakmount Ct SW #10,649900,Oakridge,SW,T2V,AB,Condo/Apt,3,2.5,2426,268,$500K-750K,3,RE/MAX House Of Real Estate
1025 5 Ave SW #1804,578000,Downtown West End,SW,T2P,AB,Condo/Apt,2,2.0,823,702,$500K-750K,2,Sotheby's International Realty Canada
137 Red Embers Link NE #133,424900,Redstone,NE,T3N,AB,Condo/Apt,3,2.5,1161,366,$300K-500K,3,Maxwell Central
329 Silverado Way SW,570000,Silverado,SW,T2X,AB,House/Town,3,2.5,1687,338,$500K-750K,3,Cir Realty
1502 10 Ave NW,969900,Hounsfield Heights/Briar Hill,NW,T2N,AB,House/Town,4,3.0,1601,606,$750K-1M,4,Real Broker
155 Skyview Ranch Way NE #6212,319000,Skyview Ranch,NE,T3N,AB,Condo/Apt,2,2.0,850,375,$300K-500K,2,The Real Estate Company
27 Somerset Square SW,699000,Somerset,SW,T2Y,AB,House/Town,4,3.5,1785,392,$500K-750K,4,First Place Realty
