Address,Price,Neighbourhood,Quadrant,PostalArea,Province,PropertyType,Beds,Baths,SqFt,PricePerSqFt,PriceTier,BedBand,Brokerage
6224 17 Ave SE #2318,214900,Red Carpet,SE,T2A,AB,Condo/Apt,2,2.0,850,253,< $300K,2,RE/MAX Real Estate (Central)
210 15 Ave SE #908,399000,Beltline,SE,T2G,AB,Condo/Apt,2,2.0,947,421,$300K-500K,2,Exp Realty
410 1 Ave NE #205,185000,Crescent Heights,NE,T2E,AB,Condo/Apt,1,1.0,489,378,< $300K,1,Cir Realty
200 Patina Ct SW #302,889900,Patterson,SW,T3H,AB,Condo/Apt,2,2.0,2555,348,$750K-1M,2,Winston Browne
20 Coachway Rd SW #234,499000,Coach Hill,SW,T3H,AB,Condo/Apt,2,2.0,1546,323,$300K-500K,2,Sotheby's International Realty Canada
224 7A St NE,1200000,Bridgeland/Riverside,NE,T2E,AB,House/Town,8,4.0,1988,604,$1M-2M,5+,RE/MAX House Of Real Estate
1033 Regal Crescent NE,875000,Renfrew,NE,T2E,AB,House/Town,4,3.5,1450,603,$750K-1M,4,RE/MAX House Of Real Estate
4424 17 Ave NW,839000,Montgomery,NW,T3B,AB,House/Town,4,3.5,1931,434,$750K-1M,4,Sotheby's International Realty Canada
149 Taralea Green NE,539900,Taradale,NE,T3J,AB,House/Town,4,2.5,1172,461,$500K-750K,4,First Place Realty
2232 36 St SE,549000,Forest Lawn,SE,T2B,AB,House/Town,5,2.0,1112,494,$500K-750K,5+,RE/MAX Irealty Innovations
117 Mckenzie Towne Dr SE,499000,Mckenzie Towne,SE,T2Z,AB,House/Town,3,2.5,1593,313,$300K-500K,3,Royal Lepage Mission Real Estate
1107 Gladstone Rd NW #1001,1365420,Hillhurst,NW,T2N,AB,Condo/Apt,3,3.0,1342,1017,$1M-2M,3,Bode Platform Inc.
239 Creekside Way SW,749900,Pine Creek,SW,T2X,AB,House/Town,3,2.5,2028,370,$500K-750K,3,Urban-Realty.Ca
96 Magnolia Way SE,749900,Mahogany,SE,T3M,AB,House/Town,5,3.5,1757,427,$500K-750K,5+,Nineteen 88 Real Estate
72 Bernard Dr NW,575000,Beddington Heights,NW,T3K,AB,House/Town,5,2.0,970,593,$500K-750K,5+,2% Realty
1188 3 St SE #1208,356000,Beltline,SE,T2G,AB,Condo/Apt,1,1.0,521,683,$300K-500K,1,Grand Realty
3000 Millrise Point SW #3318,189900,Millrise,SW,T2Y,AB,Condo/Apt,1,1.0,629,302,< $300K,1,Coldwell Banker Home Smart Real Estate
145 Silverado Crest Landing SW,2199900,Silverado,SW,T2X,AB,House/Town,3,4.5,3076,715,$2M+,3,Greater Property Group
1900 25A St SW #508,269000,Richmond,SW,T3E,AB,Condo/Apt,2,1.0,749,359,< $300K,2,Maxwell Canyon Creek
5204 Dalton Dr NW #1113,249900,Dalhousie,NW,T3A,AB,Condo/Apt,2,1.0,848,295,< $300K,2,Maxwell Canyon Creek
128 Dovista Ct SE,325000,Dover,SE,T2B,AB,House/Town,3,2.0,891,365,$300K-500K,3,Cir Realty
930 6 Ave SW #3305,609900,Downtown Commercial Core,SW,T2P,AB,Condo/Apt,2,2.0,1022,597,$500K-750K,2,Listed by David Hammer
145 Covebrook Place NE,489990,Coventry Hills,NE,T3K,AB,House/Town,3,2.5,1346,364,$300K-500K,3,RE/MAX Real Estate (Central)
20 Cornerstone Ave NE,570000,Cornerstone,NE,T3N,AB,House/Town,3,2.5,1454,392,$500K-750K,3,Five Star Realty
150 Hotchkiss Manor SE,700000,Hotchkiss,SE,T3S,AB,House/Town,3,2.5,2294,305,$500K-750K,3,Bode Platform Inc.
140 Suncrest Way SE,559900,Sundance,SE,T2X,AB,House/Town,3,2.5,1557,360,$500K-750K,3,Century 21 Foothills Real Estate
919 Corner Meadows Way NE,859900,Cornerstone,NE,T3N,AB,House/Town,4,3.0,2423,355,$750K-1M,4,RE/MAX Crown
804 3 Ave SW #507,419900,Eau Claire,SW,T2P,AB,Condo/Apt,2,2.0,956,439,$300K-500K,2,Exp Realty
81 Legacy Blvd SE #3211,264999,Legacy,SE,T2X,AB,Condo/Apt,2,1.0,670,396,< $300K,2,Century 21 Bamber Realty Ltd.
57 Savanna Manor NE,669900,Saddle Ridge,NE,T3J,AB,House/Town,5,3.5,1509,444,$500K-750K,5+,RE/MAX Crown
55 Panatella Park NW,399999,Panorama Hills,NW,T3K,AB,House/Town,3,1.5,1176,340,$300K-500K,3,RE/MAX Real Estate (Mountain View)
1302 Russell Rd NE #5,549999,Renfrew,NE,T2E,AB,Condo/Apt,2,2.5,1290,426,$500K-750K,2,2% Realty
5204 Dalton Dr NW #712,235532,Dalhousie,NW,T3A,AB,Condo/Apt,2,1.0,865,272,< $300K,2,Real Broker
1407 44 St SE #A,239000,Forest Lawn,SE,T3A,AB,Condo/Apt,2,1.5,484,494,< $300K,2,RE/MAX Irealty Innovations
1104 40 St SW,650000,Rosscarrock,SW,T3C,AB,House/Town,4,3.5,1324,491,$500K-750K,4,RE/MAX Real Estate (Central)
187 Legacy Glen Parade SE,627900,Legacy,SE,T2X,AB,House/Town,3,2.5,1634,384,$500K-750K,3,RE/MAX Real Estate (Central)
218 Kincora Bay NW,765000,Kincora,NW,T3R,AB,House/Town,5,3.5,2166,353,$750K-1M,5+,Real Broker
20 Sage Hill Terrace NW #307,323988,Sage Hill,NW,T3R,AB,Condo/Apt,2,2.0,862,376,$300K-500K,2,Ymk Real Estate & Management Inc.
192 Lucas Heights NW,835000,Livingston,NW,T4B,AB,House/Town,5,2.5,2266,368,$750K-1M,5+,The Real Estate Company
215 Legacy Blvd SE #3415,319900,Legacy,SE,T2X,AB,Condo/Apt,2,2.0,802,399,$300K-500K,2,2% Realty
206 Ambleton Dr NW,594900,Ambleton,NW,T3P,AB,House/Town,3,2.5,1640,363,$500K-750K,3,Independent Broker
35 Redstone Park NE,699900,Redstone,NE,T3N,AB,House/Town,3,2.5,1689,414,$500K-750K,3,Diamond Realty & Associates Ltd.
240 Carringvue Place NW,750000,Carrington,NW,T3P,AB,House/Town,3,2.5,2021,371,$750K-1M,3,Cir Realty
291 Beddington Circle NE,549900,Beddington Heights,NE,T3K,AB,House/Town,5,2.5,1248,441,$500K-750K,5+,Grand Realty
1014 Panorama Hills Dr NW,649900,Panorama Hills,NW,T3K,AB,House/Town,3,2.5,1780,365,$500K-750K,3,Grand Realty
315 9A St NW #205,295000,Sunnyside,NW,T2N,AB,Condo/Apt,2,1.0,782,377,< $300K,2,RE/MAX Real Estate (Central)
510 6 Ave SE #603,359900,Downtown East Village,SE,T2G,AB,Condo/Apt,1,1.0,733,491,$300K-500K,1,Real Estate Professionals Inc.
2804 1 Ave,1000000,West Hillhurst,Other,T2N,AB,House/Town,4,2.0,974,1027,$1M-2M,4,First Place Realty
735 Evanston Dr NW,472000,Evanston,NW,T3P,AB,House/Town,3,2.5,1368,345,$300K-500K,3,Property Solutions Real Estate Group Inc.
10186 Hidden Valley Dr NW,674900,Hidden Valley,NW,T3A,AB,House/Town,4,3.0,1155,584,$500K-750K,4,Cir Realty
3905 Centre B St NW,879000,Highland Park,NW,T2E,AB,House/Town,4,3.5,1823,482,$750K-1M,4,RE/MAX Real Estate (Central)
312 26 Ave NE,650000,Tuxedo Park,NE,T2E,AB,House/Town,4,2.0,837,777,$500K-750K,4,Nineteen 88 Real Estate
345 Walden Dr SE,414900,Walden,SE,T2X,AB,House/Town,2,2.5,1162,357,$300K-500K,2,Charles
562 Sage Hill Rd NW,699900,Sage Hill,NW,T3R,AB,House/Town,5,3.5,1354,517,$500K-750K,5+,RE/MAX Real Estate (Central)
74 Simcoe Crescent SW,870000,Signal Hill,SW,T3H,AB,House/Town,4,3.5,2147,405,$750K-1M,4,Century 21 Elevate Real Estate
2034 32 St SW,745000,Killarney/Glengarry,SW,T3E,AB,House/Town,4,3.5,1710,436,$500K-750K,4,Royal Lepage Solutions
6428 4 St NE #3,290000,Thorncliffe,NE,T2K,AB,Condo/Apt,3,1.5,1116,260,< $300K,3,RE/MAX Real Estate (Mountain View)
918 Crescent Rd NW,3599000,Rosedale,NW,T2M,AB,House/Town,3,4.5,2217,1623,$2M+,3,RE/MAX Real Estate (Central)
732 57 Ave SW #410,249900,Windsor Park,SW,T2V,AB,Condo/Apt,2,1.5,937,267,< $300K,2,Maxwell Capital Realty
110 2 Ave SE #201,155000,Chinatown,SE,T2G,AB,Condo/Apt,1,1.0,590,263,< $300K,1,First Place Realty
410 1 Ave NE #304,229900,Crescent Heights,NE,T2E,AB,Condo/Apt,1,1.0,493,466,< $300K,1,Maxwell Canyon Creek
4275 Norford Ave NW #118,479900,University District,NW,T3B,AB,Condo/Apt,2,1.0,650,738,$300K-500K,2,RE/MAX Real Estate (Central)
3000 Hawksbrow Point NW #3210,339900,Hawkwood,NW,T3G,AB,Condo/Apt,2,2.0,929,366,$300K-500K,2,Greater Property Group
1611 49 Ave SW,2199000,Altadore,SW,T2T,AB,House/Town,6,3.5,2769,794,$2M+,5+,Sotheby's International Realty Canada
204 Masters Crescent SE,739000,Mahogany,SE,T3M,AB,House/Town,4,3.5,1981,373,$500K-750K,4,RE/MAX Real Estate (Central)
1164 Northmount Dr NW,829000,Brentwood,NW,T2L,AB,House/Town,6,4.0,1163,713,$750K-1M,5+,Century 21 Bravo Realty
502 30 Ave NE,1499000,Winston Heights/Mountview,NE,T2E,AB,House/Town,4,4.5,3110,482,$1M-2M,4,Exp Realty
4520 26 Ave NE,500000,Rundle,NE,T1Y,AB,House/Town,4,1.0,2100,238,$500K-750K,4,Maara Realty Inc.
13 Spring Valley Ln SW,1599000,Springbank Hill,SW,T3H,AB,House/Town,4,3.5,2184,732,$1M-2M,4,RE/MAX Realty Professionals
1020 9 Ave SE #122,450000,Inglewood,SE,T2G,AB,Condo/Apt,1,1.5,928,485,$300K-500K,1,Greater Property Group
1118 12 Ave SW #802,395000,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,820,482,$300K-500K,2,Real Broker
1726 14 Ave NW #106,569900,Hounsfield Heights/Briar Hill,NW,T2N,AB,Condo/Apt,2,2.0,1214,469,$500K-750K,2,RE/MAX Real Estate (Central)
7628 22A St SE,445000,Ogden,SE,T2C,AB,House/Town,3,2.0,513,867,$300K-500K,3,Cir Realty
519 9 Ave NE,849900,Renfrew,NE,T2E,AB,House/Town,5,3.5,1804,471,$750K-1M,5+,Royal Lepage Mission Real Estate
24 Midvalley Crescent SE,950000,Midnapore,SE,T2X,AB,House/Town,4,2.5,2410,394,$750K-1M,4,Exp Realty
7 Chaparral Valley Grove SE,749900,Chaparral,SE,T2X,AB,House/Town,4,3.5,1794,418,$500K-750K,4,RE/MAX Irealty Innovations
107 Valley Crest Rise NW,1100000,Valley Ridge,NW,T3B,AB,House/Town,4,3.5,2454,448,$1M-2M,4,Century 21 Bravo Realty
2101 18A St SW,1420000,Bankview,SW,T2T,AB,House/Town,4,4.5,3306,430,$1M-2M,4,Real Broker
839 Mcpherson Rd NE,849900,Bridgeland/Riverside,NE,T2Z,AB,House/Town,3,2.0,720,1180,$750K-1M,3,CA West Realty
5640 Temple Dr NE,599900,Temple,NE,T1Y,AB,House/Town,5,2.5,1083,554,$500K-750K,5+,Maxvalue Realty Ltd.
22 Richard Place SW #137,335000,Lincoln Park,SW,T3E,AB,Condo/Apt,2,2.0,904,371,$300K-500K,2,Cir Realty
236 Fairview Dr SE,548000,Fairview,SE,T2H,AB,House/Town,5,2.0,980,559,$500K-750K,5+,Listed by Seamus Logue
1153 Cranbrook Gardens SE,997800,Cranston,SE,T3M,AB,House/Town,3,2.5,2540,393,$750K-1M,3,RE/MAX Irealty Innovations
308 Greenbirar Common NW,684900,Greenwood/Greenbriar,NW,T3B,AB,House/Town,4,3.5,1811,378,$500K-750K,4,RE/MAX House Of Real Estate
57 Auburn Bay Gardens SE,569900,Auburn Bay,SE,T3M,AB,House/Town,3,2.5,1512,377,$500K-750K,3,Grand Realty
11894 Coventry Hills Way NE,700000,Coventry Hills,NE,T3K,AB,House/Town,3,2.5,2323,301,$500K-750K,3,RE/MAX Real Estate (Mountain View)
1734 11 Ave SW #302,575000,Sunalta,SW,T3C,AB,Condo/Apt,3,3.0,1474,390,$500K-750K,3,Greater CA Real Estate
280 Templeton Circle NE,580000,Temple,NE,T1Y,AB,House/Town,5,3.0,1841,315,$500K-750K,5+,Coldwell Banker Complete Real Estate
51 Appleburn Close SE,438000,Applewood Park,SE,T2A,AB,House/Town,4,1.5,1122,390,$300K-500K,4,Cir Realty
119 42 Ave NE,539900,Highland Park,NE,T2E,AB,House/Town,4,2.0,836,646,$500K-750K,4,Grand Realty
36 Dovista Ct SE,325000,Dover,SE,T2B,AB,House/Town,3,2.0,905,359,$300K-500K,3,Maxwell Canyon Creek
3031 32A St SE,388888,Dover,SE,T2B,AB,House/Town,3,1.0,924,421,$300K-500K,3,Cir Realty
643 4 Ave NE #1,358900,Bridgeland/Riverside,NE,T2E,AB,Condo/Apt,2,1.5,1039,345,$300K-500K,2,Century 21 Bravo Realty
1030 8 Ave NE,625000,Renfrew,NE,T2E,AB,House/Town,3,2.0,942,663,$500K-750K,3,Royal Lepage Benchmark
2126 18A St SW,849000,Bankview,SW,T2T,AB,House/Town,3,2.0,1170,726,$750K-1M,3,RE/MAX Landan Real Estate
3015 51 St SW #91,299900,Glenbrook,SW,T3E,AB,Condo/Apt,2,1.0,930,322,< $300K,2,Century 21 Bravo Realty
383 Copperhead Way SE,699900,Copperfield,SE,T2Z,AB,House/Town,3,2.5,2172,322,$500K-750K,3,Exp Realty
5931 Dalhousie Dr NW,664000,Dalhousie,NW,T3A,AB,House/Town,4,2.5,1211,548,$500K-750K,4,RE/MAX Irealty Innovations
93 Sherwood Rd NW,899000,Sherwood,NW,T3R,AB,House/Town,4,3.5,2370,379,$750K-1M,4,First Place Realty
31 Auburn Bay Place SE,679900,Auburn Bay,SE,T3M,AB,House/Town,3,3.5,1738,391,$500K-750K,3,RE/MAX Complete Realty
1634 17 Ave NW,739000,Capitol Hill,NW,T2M,AB,House/Town,4,3.5,1716,431,$500K-750K,4,Century 21 Bamber Realty Ltd.
234 Belmont Heath SW,528000,Belmont,SW,T2X,AB,House/Town,3,2.5,1448,365,$500K-750K,3,Cir Realty
6543 54 St NW,649000,Dalhousie,NW,T3A,AB,House/Town,5,2.0,1081,600,$500K-750K,5+,First Place Realty
77 Woodpath Terrace SW,1200000,Woodbine,SW,T2W,AB,House/Town,5,3.5,2772,433,$1M-2M,5+,RE/MAX Real Estate (Central)
2111 Hawksbrow Point NW #2111,360000,Hawkwood,NW,T3G,AB,Condo/Apt,2,1.5,985,365,$300K-500K,2,Real Broker
7714 36 Ave NW,855000,Bowness,NW,T3B,AB,House/Town,5,3.5,1829,467,$750K-1M,5+,Exp Realty
3809 45 St SW #49,249900,Glenbrook,SW,T3E,AB,Condo/Apt,3,1.0,860,291,< $300K,3,Real Broker
307 Seton Rd SE,765000,Seton,SE,T3M,AB,House/Town,3,2.5,2297,333,$750K-1M,3,RE/MAX Irealty Innovations
1312 13 Ave SW #603,209900,Beltline,SW,T3C,AB,Condo/Apt,1,1.0,566,371,< $300K,1,CA West Realty
112 Cranbrook Heights SE,1383000,Cranston,SE,T3M,AB,House/Town,5,4.5,3093,447,$1M-2M,5+,Real Estate Professionals Inc.
51 Waterfront Mews SW #101,825000,Chinatown,SW,T2P,AB,Condo/Apt,2,2.0,1080,764,$750K-1M,2,RE/MAX Real Estate (Central)
91 Bermuda Close NW,524900,Beddington Heights,NW,T3K,AB,House/Town,5,2.5,1138,461,$500K-750K,5+,RE/MAX Crown
4739 Nordegg Crescent NW,664900,North Haven,NW,T2K,AB,House/Town,4,1.5,1228,541,$500K-750K,4,RE/MAX Realty Professionals
116 Midland Crescent SE,550000,Midnapore,SE,T2X,AB,House/Town,4,2.0,1045,526,$500K-750K,4,RE/MAX House Of Real Estate
177 Westminster Dr SW,779500,Westgate,SW,T3C,AB,House/Town,5,2.0,1050,742,$750K-1M,5+,RE/MAX Real Estate (Central)
167 Douglasview Rd SE,875000,Douglasdale/Glen,SE,T2Z,AB,House/Town,6,4.5,2936,298,$750K-1M,5+,Listed by Derrick Dion
630 Sabrina Rd SW #44,299000,Southwood Village,SW,T2W,AB,Condo/Apt,3,1.5,1140,262,< $300K,3,RE/MAX Real Estate (Central)
311 Temple Close NE,580000,Temple,NE,T1Y,AB,House/Town,4,2.5,1260,460,$500K-750K,4,RE/MAX Real Estate (Central)
1719 9A St SW #121,499900,The Block,SW,T2T,AB,Condo/Apt,2,2.5,1088,459,$300K-500K,2,Listed by Stephanie Berman
47 Homestead Close NE,999000,Homestead,NE,T3J,AB,House/Town,5,4.0,2675,373,$750K-1M,5+,RE/MAX Real Estate (Central)
1609 Evergreen Hill SW,989000,Evergreen,SW,T2Y,AB,House/Town,6,3.5,2649,373,$750K-1M,5+,The Real Estate Company
89 Sunmeadows Crescent SE,749900,Sundance,SE,T2X,AB,House/Town,4,3.0,1355,553,$500K-750K,4,RE/MAX Realty Professionals
75 Corner Meadows Common NE,659900,Cornerstone,NE,T3N,AB,House/Town,4,3.5,1609,410,$500K-750K,4,RE/MAX Crown
1901 Varsity Estates Dr NW #12,899900,Chateau On The Green,NW,T3B,AB,Condo/Apt,3,3.5,2060,437,$750K-1M,3,RE/MAX Real Estate (Mountain View)
2309 16A St SW,1495000,Bankview,SW,T2T,AB,House/Town,4,4.5,1924,777,$1M-2M,4,Listed by Sandy Seifert
5611 Dalwood Way NW,774900,Dalhousie,NW,T3A,AB,House/Town,4,1.5,1685,460,$750K-1M,4,Century 21 Bravo Realty
150 Shawnee Square SW #407,608990,Shawnee Slopes,SW,T2Y,AB,Condo/Apt,2,2.5,1352,450,$500K-750K,2,Bode Platform Inc.
2419 Erlton Rd SW #406,404900,Erlton,SW,T2S,AB,Condo/Apt,2,2.0,1080,375,$300K-500K,2,RE/MAX Complete Realty
132 Prominence Heights SW,525000,Prominence Heights,SW,T3H,AB,House/Town,3,2.5,1764,298,$500K-750K,3,RE/MAX Real Estate (Central)
1523 28 Ave SW #2,664900,South CA,SW,T2T,AB,Condo/Apt,3,3.5,1334,498,$500K-750K,3,Century 21 Bamber Realty Ltd.
2839 Cedar Ridge Dr SW,799900,Cedarbrae,SW,T2W,AB,House/Town,4,3.0,1119,715,$750K-1M,4,Exp Realty
510 6 Ave SE #1404,495000,Downtown East Village,SE,T2G,AB,Condo/Apt,2,2.0,867,571,$300K-500K,2,Bluepoint Realtors
4733 17 Ave NW #1,549000,Montgomery,NW,T3B,AB,Condo/Apt,3,3.5,1446,380,$500K-750K,3,RE/MAX Irealty Innovations
17 Millrose Place SW,370000,Millrise,SW,T2Y,AB,House/Town,2,2.5,1166,317,$300K-500K,2,2% Realty
355 Taralake Way NE #322,279900,Taradale,NE,T3J,AB,Condo/Apt,2,2.0,765,366,< $300K,2,Century 21 Bamber Realty Ltd.
181 Skyview Ranch Manor NE #1205,239900,Skyview Ranch,NE,T3N,AB,Condo/Apt,1,1.0,590,407,< $300K,1,RE/MAX House Of Real Estate
120 Mt Cascade Close SE,849900,Mckenzie Lake,SE,T2Z,AB,House/Town,5,3.5,2625,324,$750K-1M,5+,Listed by Aleksey Julanov
110 Panamount Dr NW,413900,Panamount Place,NW,T3K,AB,House/Town,3,1.5,1041,398,$300K-500K,3,RE/MAX Real Estate (Mountain View)
107 Bernard Mews NW,620000,Beddington Heights,NW,T3K,AB,House/Town,3,3.0,1090,569,$500K-750K,3,Diamond Realty & Associates Ltd.
11811 Lake Fraser Dr SE #3412,239990,Lake Bonavista,SE,T2J,AB,Condo/Apt,1,1.0,588,408,< $300K,1,Century 21 Bamber Realty Ltd.
640 Douglas Glen Blvd SE,675000,Douglasdale/Glen,SE,T2Z,AB,House/Town,4,3.5,1938,348,$500K-750K,4,Cir Realty
4004 New Brighton Grove SE,569000,New Brighton,SE,T2Z,AB,House/Town,3,2.5,1587,359,$500K-750K,3,Cir Realty
33 Saddlecrest Close NE,639888,Saddle Ridge,NE,T3J,AB,House/Town,4,3.5,1503,426,$500K-750K,4,Real Estate Professionals Inc.
33 Burma Star Rd SW #305,795000,Currie Barracks,SW,T3E,AB,Condo/Apt,2,2.5,1581,503,$750K-1M,2,Cir Realty
3648 Chippendale Dr NW,675000,Charleswood,NW,T2L,AB,House/Town,3,2.0,1042,648,$500K-750K,3,Sotheby's International Realty Canada
1053 10 St SW #411,258800,Beltline,SW,T2R,AB,Condo/Apt,1,1.0,665,389,< $300K,1,RE/MAX Real Estate (Mountain View)
1122 3 St SE #1509,519900,Beltline,SE,T2G,AB,Condo/Apt,2,2.0,934,557,$500K-750K,2,RE/MAX Landan Real Estate
1003 Woodview Crescent SW,595000,Woodlands,SW,T2W,AB,House/Town,3,2.5,1772,336,$500K-750K,3,Listed by Jamie Newton
73 Valley Woods Way NW,950000,Valley Ridge,NW,T3B,AB,House/Town,4,3.5,2087,455,$750K-1M,4,Real Broker
515 57 Ave SW #202,215000,Windsor Park,SW,T2V,AB,Condo/Apt,2,1.0,862,249,< $300K,2,Century 21 Bamber Realty Ltd.
695 Cranston Ave SE,1195000,Cranston,SE,T3M,AB,House/Town,5,3.5,2736,437,$1M-2M,5+,RE/MAX House Of Real Estate
1130 Copperfield Blvd SE,594900,Copperfield,SE,T2Z,AB,House/Town,3,2.5,1544,385,$500K-750K,3,First Place Realty
8880 Horton Rd SW #1217,349900,Haysboro,SW,T2V,AB,Condo/Apt,2,2.0,976,359,$300K-500K,2,Exp Realty
2117 32 Ave SW,1169900,Richmond,SW,T2T,AB,House/Town,4,3.5,1883,621,$1M-2M,4,Exp Realty
25 Prestwick Dr SE #211,329900,Mckenzie Towne,SE,T2Z,AB,Condo/Apt,2,2.0,965,342,$300K-500K,2,Listed by Angela Els
440 12 Ave NE #1,449900,Renfrew,NE,T2E,AB,Condo/Apt,3,3.5,1100,409,$300K-500K,3,Royal Lepage Mission Real Estate
175 Covington Rd NE,539900,Coventry Hills,NE,T3K,AB,House/Town,3,2.0,1009,535,$500K-750K,3,RE/MAX Real Estate (Central)
115 Cranwell Close SE,799999,Cranston,SE,T3M,AB,House/Town,4,3.5,2250,356,$750K-1M,4,Homecare Realty Ltd.
195 Macewan Meadow Way NW,480000,Macewan Glen,NW,T3K,AB,House/Town,4,1.5,850,565,$300K-500K,4,Jessica Chan Real Estate & Management Inc.
1430 21 Ave NW,399900,Capitol Hill,NW,T2M,AB,House/Town,1,1.0,481,831,$300K-500K,1,Classic Property Management & Realty Ltd
42 Prestwick Dr SE,468000,Mckenzie Towne,SE,T2Z,AB,House/Town,3,3.5,1271,368,$300K-500K,3,Royal Lepage Benchmark
1334 Legacy Circle SE,544900,Legacy,SE,T2X,AB,House/Town,3,2.5,1396,390,$500K-750K,3,First Place Realty
221 Creekside Blvd SW,519900,Pine Creek,SW,T2X,AB,House/Town,3,2.5,1267,410,$500K-750K,3,2% Realty
5012 Marlborough Dr NE,599999,Marlborough,NE,T2A,AB,House/Town,5,2.5,1161,517,$500K-750K,5+,Exp Realty
23 West Jensen Place SW,732800,West Springs,SW,T3H,AB,House/Town,3,2.5,1206,608,$500K-750K,3,Stonemere Real Estate Solutions
25 Auburn Meadows Ave SE #345,369000,Auburn Bay,SE,T3M,AB,Condo/Apt,2,2.0,864,427,$300K-500K,2,Real Broker
436 Hawkstone Dr NW,674900,Hawkwood,NW,T3G,AB,House/Town,4,3.5,1779,379,$500K-750K,4,RE/MAX House Of Real Estate
825 4 St NE #301,269900,Renfrew,NE,T2E,AB,Condo/Apt,2,1.0,758,356,< $300K,2,Royal Lepage Solutions
881 Sage Valley Blvd NW #1403,489999,Sonoma At Sage Hill,NW,T3R,AB,Condo/Apt,3,2.5,1214,404,$300K-500K,3,Cir Realty
2211 17 St SW,499900,Bankview,SW,T2T,AB,House/Town,1,2.0,1050,476,$300K-500K,1,RE/MAX House Of Real Estate
1140 Taradale Dr NE #2112,247700,Taradale,NE,T3J,AB,Condo/Apt,2,2.0,881,281,< $300K,2,Royal Lepage Metro
2 Hemlock Crescent SW #203,348000,Spruce Cliff,SW,T3C,AB,Condo/Apt,2,1.5,849,410,$300K-500K,2,Real Estate Professionals Inc.
33 Saddlemont Grove NE,549900,Saddle Ridge,NE,T3J,AB,House/Town,3,3.5,1353,406,$500K-750K,3,Prep Realty
1109 53A St SE,299900,Penbrooke Meadows,SE,T2A,AB,House/Town,3,1.5,443,677,< $300K,3,Exp Realty
627 53 Ave SW,830000,Windsor Park,SW,T2V,AB,House/Town,5,3.5,1767,470,$750K-1M,5+,RE/MAX Real Estate (Central)
210 Canterbury Place SW,1095000,Canyon Meadows,SW,T2W,AB,House/Town,4,3.5,1611,680,$1M-2M,4,Exp Realty
2706 4 Ave NW,1149900,West Hillhurst,NW,T2N,AB,House/Town,4,3.5,1815,634,$1M-2M,4,Real Broker
504 Cranford Dr SE,459900,Cranston Ridge,SE,T3M,AB,House/Town,3,2.5,1269,362,$300K-500K,3,RE/MAX Real Estate (Central)
10120 Brookpark Blvd SW #511,199900,Braeside,SW,T2W,AB,Condo/Apt,2,1.0,832,240,< $300K,2,Diamond Realty & Associates Ltd.
707 4 St NE #413,329900,Renfrew,NE,T2E,AB,Condo/Apt,1,1.0,589,560,$300K-500K,1,Century 21 Bamber Realty Ltd.
13104 Elbow Dr SW #1303,300000,Canyon Creek Heights,SW,T2W,AB,Condo/Apt,2,1.0,1018,295,$300K-500K,2,RE/MAX Real Estate (Central)
155 Skyview Ranch Way NE #6302,290000,Skyview Ranch,NE,T3N,AB,Condo/Apt,2,2.0,837,346,< $300K,2,Real Estate Professionals Inc.
7621 26A St SE,374900,Ogden,SE,T2C,AB,House/Town,3,1.0,923,406,$300K-500K,3,Century 21 Argos Realty
56 Rockford Terrace NW,1200000,Rocky Ridge,NW,T3G,AB,House/Town,5,3.5,2816,426,$1M-2M,5+,Royal Lepage Benchmark
1472 Legacy Circle SE,535000,Legacy,SE,T2X,AB,House/Town,3,2.5,1348,397,$500K-750K,3,Cir Realty
162 Evanscrest Rd NW,599900,Evanston,NW,T3P,AB,House/Town,3,2.5,1236,485,$500K-750K,3,Greater CA Real Estate
2204 Bowness Rd NW,999900,West Hillhurst,NW,T2N,AB,House/Town,4,3.5,2174,460,$750K-1M,4,Sotheby's International Realty Canada
64 Abberfield Ct NE,349900,Abbeydale,NE,T2A,AB,House/Town,3,1.5,1286,272,$300K-500K,3,RE/MAX Complete Realty
199 Copperpond St SE,609999,Copperfield,SE,T2Z,AB,House/Town,4,3.5,1578,387,$500K-750K,4,Exp Realty
755 Copperpond Blvd SE #5115,199900,Copperfield,SE,T2Z,AB,Condo/Apt,1,1.0,585,342,< $300K,1,RE/MAX Landan Real Estate
330 Canterbury Dr SW #158,329900,Canyon Meadows,SW,T2W,AB,Condo/Apt,3,1.5,1149,287,$300K-500K,3,Grand Realty
56 Hawkwood Place NW,649900,Hawkwood,NW,T3G,AB,House/Town,4,2.5,1848,352,$500K-750K,4,Greater CA Real Estate
276 Cranbrook Point SE,2590000,Cranston,SE,T3M,AB,House/Town,4,3.5,3325,779,$2M+,4,Diamond Realty & Associates Ltd.
1815 26 Ave SW #6,245000,South CA,SW,T2T,AB,Condo/Apt,2,1.0,742,330,< $300K,2,Babych Group Central
130 New Brighton Way SE #476,425000,New Brighton,SE,T2Z,AB,Condo/Apt,3,2.5,1214,350,$300K-500K,3,Cir Realty
23 Cornerstone Ave NE,584900,Cornerstone,NE,T3G,AB,House/Town,3,2.5,1465,399,$500K-750K,3,Royal Lepage Mission Real Estate
2306 20 St NW,650000,Banff Trail,NW,T2M,AB,House/Town,3,2.5,1289,504,$500K-750K,3,Real Broker
